zip_code,centroid_longitude,centroid_latitude,internal_point_latitude,internal_point_longitude,area,convex_hull_area
01013,-72.60821504216712,42.159613203339326,+42.1549039,-072.6028037,0.0017755659159999545,0.00289799471899962
01020,-72.56530846356098,42.17636081223777,+42.1726017,-072.5620729,0.0036478958020000046,0.00549788615299957
01022,-72.54267692181926,42.19729562846139,+42.1977414,-072.5427131,0.0013444310754999263,0.0014896505134998558
01026,-72.92026587821958,42.46332752014474,+42.4654945,-072.9182666,0.0068416130150001095,0.00859991170550033
01027,-72.74312087567642,42.29506919303674,+42.2950079,-072.7518767,0.011582456592999953,0.0197695674310001
01028,-72.49905086636225,42.0597731889411,+42.0623782,-072.4981110,0.0036640150015000415,0.0036700108875003094
01029,-73.04835558819366,42.196330787788135,+42.1933945,-073.0446470,0.0050537206105001195,0.0057008785994999015
01030,-72.67989331763764,42.06899131927133,+42.0729247,-072.6869715,0.003389828213999961,0.004267098611000209
01031,-72.1981532973868,42.32938046249315,+42.3293797,-072.1981556,0.002295105658000031,0.0035445269590001047
01032,-72.81299928918712,42.450416241627565,+42.4576127,-072.8147797,0.0034312812449998962,0.00499347645950019
01033,-72.5036165944816,42.260815145078766,+42.2449487,-072.5001426,0.007932805775500129,0.0080717123184999
01034,-72.95767254369431,42.084792593812026,+42.0939118,-072.9611031,0.020742523071500242,0.021828987408001016
01035,-72.56921762038235,42.355647316271174,+42.3564911,-072.5686319,0.0069632437549997945,0.010838255791500084
01036,-72.4158465588784,42.063724374067306,+42.0711876,-072.4177176,0.005497626005500048,0.005760159781999744
01037,-72.19772330916031,42.370093808472866,+42.3727280,-072.1954115,0.004425992702499871,0.006837086033499721
01038,-72.6069450202203,42.38549388670989,+42.3854957,-072.6069294,0.0030739878114999456,0.0034879501565001077
17842,-77.04171155535734,40.80402313635869,+40.8029496,-077.0401515,0.0230710675815002,0.028628838760000393
17844,-77.08628547338624,40.965470181558864,+40.9739753,-077.0854049,0.031156471188499877,0.04050141320999971
17845,-77.21114558718529,40.885295741431605,+40.8843701,-077.2115701,0.018256136172500315,0.024166585731000466
17846,-76.51724632181539,41.14531036341624,+41.1417450,-076.5171218,0.012953928051499962,0.017138607572999977
17847,-76.80592790764605,41.00569044833298,+41.0079853,-076.8109495,0.01348437681149994,0.01646844767899931
17850,-76.85752765409967,40.96586505599999,+40.9655955,-076.8574480,9.017238000001604e-05,0.00012134759600003206
17851,-76.43247562291353,40.80429703611107,+40.8031182,-076.4342996,0.004226989420499934,0.0052241564324998924
17853,-77.00957689057056,40.694192615289715,+40.6947295,-077.0067000,0.01170267803049997,0.01570702368900008
98310,-122.62300109516475,47.59269561200488,+47.5918515,-122.6262591,0.0026741214690000057,0.003994920183000338
98311,-122.63701044531562,47.63021087431761,+47.6311965,-122.6310170,0.004503902575500063,0.0056372533264996885
83464,-113.23653000309277,44.50722488094778,+44.5335311,-113.2557507,0.310463233452999,0.43189698402099763
83465,-113.69999413566065,44.777164292816,+44.7927407,-113.6723820,0.05468032374049981,0.06980896122200013
83466,-114.04183382969829,45.424200553249094,+45.4148463,-114.0466289,0.08675009909450018,0.13390558084150006
98312,-122.7600591750463,47.573258523119804,+47.5737018,-122.7864465,0.020845703144500204,0.026689261921000428
98314,-122.63872259420847,47.555945857204534,+47.5562874,-122.6371179,0.0004429591845000122,0.0004805488025001538
98315,-122.71602378898096,47.72504134818452,+47.7245503,-122.7160114,0.0038037531325000825,0.004237459453500362
98320,-122.99008202917123,47.72118078367924,+47.7185432,-122.9669228,0.030816334821499917,0.04114025376599981
98321,-122.06424810922672,47.15281770826212,+47.1526064,-122.0717385,0.011207718288999972,0.019855956880000285
98323,-121.88813342324808,47.040600929237,+47.0431159,-121.8276330,0.0758764674345001,0.09997684966500049
80903,-104.81519144607569,38.83129405631997,+38.8315258,-104.8150619,0.0013003628489999663,0.0016406317009996876
75494,-95.26234535634981,32.9093517764753,+32.9171920,-095.2598595,0.05785293583400008,0.07155300025750043
70769,-90.94048085063572,30.307327280578765,+30.3074302,-090.9406432,0.011925432398500038,0.01753730266599951
70770,-90.99729152683064,30.650233542835586,+30.6437970,-090.9969330,0.005030102739500013,0.010478537113499822
70772,-91.46865198284337,30.43695984582685,+30.4369610,-091.4686529,0.0034366223835000068,0.004151822068500016
70773,-91.36312356224842,30.608690618144294,+30.6102675,-091.3631853,0.0008888828449999931,0.0010467851620002385
80904,-104.87196305628423,38.860619624488216,+38.8608293,-104.8761633,0.0025796895089999442,0.004236913942499981
75495,-96.55161750977564,33.43311563481837,+33.4391948,-096.5468412,0.01697742799749977,0.02030253655899984
70774,-90.77379539122443,30.207626093698945,+30.2145538,-090.7619043,0.01884369728049981,0.02551949295599988
75496,-96.06299156029264,33.35986520742735,+33.3494130,-096.0578530,0.03108491164600004,0.04092896073850025
80905,-104.83676011094524,38.81791284423856,+38.8189104,-104.8383477,0.0013330379855000405,0.0025074803825002687
75497,-95.57200167102049,32.92198921490226,+32.9247275,-095.5681535,0.02074059364500008,0.025114042608499657
70775,-91.36863850549861,30.86012699289827,+30.8582526,-091.3689999,0.079325010873,0.10172443693650003
70776,-91.089909615146,30.263540802458905,+30.2658443,-091.0861391,0.008756952844499833,0.012148999151499635
70777,-91.07002725613927,30.738294314247778,+30.7402486,-091.0786278,0.01534327337350002,0.025532932007500026
70778,-90.86064539810994,30.153271216954554,+30.1577561,-090.8626818,0.0059041625565000415,0.007460467101999341
70780,-91.16979763577984,30.29535699751891,+30.2987330,-091.1852980,0.0040080106515000685,0.00509559440700008
70782,-91.51858197520028,30.943719199645685,+30.9519193,-091.5118036,0.006754488629500231,0.010854461089499641
70783,-91.40434357901023,30.683446094347005,+30.6854637,-091.4037976,0.0053111130614997585,0.009545288886999608
80906,-104.87163901585366,38.76568184909034,+38.7526052,-104.8782333,0.012558392212500082,0.01724865119900017
70785,-90.81816254613726,30.55891430899516,+30.5571012,-090.8192356,0.02342769713900025,0.02915029736849952
70787,-91.44319079935812,30.96309261454539,+30.9616325,-091.4407101,0.0011698433895000221,0.0017068639459999887
75501,-94.1314451105717,33.37360330159597,+33.3718315,-094.1398131,0.025732160004999702,0.03359489803849938
70788,-91.17351562944278,30.13630800100713,+30.1404924,-091.1728377,0.0269216072424999,0.034418692262500335
70789,-91.08262230901789,30.931768611052416,+30.9405812,-091.0829571,0.0056847629890000315,0.007716882919499813
30573,-83.41344830304128,34.741684205113344,+34.7498665,-083.4166733,0.0012454863695000634,0.002691919776999919
30575,-83.71593230258391,34.20375149748239,+34.2075940,-083.7134408,0.0029341247579999217,0.003934806106499977
30576,-83.44917737452646,34.82766990638001,+34.8346274,-083.4521916,0.009898403037500001,0.016094020016499726
30577,-83.32467999392007,34.55409547544938,+34.5524186,-083.3259293,0.04211095150800004,0.06134674342600091
30581,-83.41698589494021,34.79643643866194,+34.7952483,-083.4237253,5.118746349999683e-05,0.00012531962649999938
30582,-83.90305942254533,34.950986685867406,+34.9589184,-083.9004041,0.012800603161500003,0.014904717393499906
30601,-83.34853209254686,34.00084702862587,+33.9991507,-083.3469925,0.006043519396499995,0.009438751607499733
30602,-83.3723865469209,33.94324689420769,+33.9445415,-083.3729367,0.000183151592500006,0.0004049424909999863
30605,-83.32328596944883,33.90658901597262,+33.9059109,-083.3235769,0.009421546198000095,0.011822063829000225
30606,-83.42878166547301,33.93959474946411,+33.9375514,-083.4249638,0.00780119157150004,0.010562396043000999
30607,-83.4459844556788,34.020072987194915,+34.0173048,-083.4475511,0.009095685265999881,0.012442630985999667
30609,-83.38200745558274,33.949463617167495,+33.9494636,-083.3820075,5.9034729999893585e-06,6.019332499988481e-06
30619,-83.24103226616461,33.8575035636906,+33.8557967,-083.2447109,0.006811921793000021,0.01038482004150005
30620,-83.75732577201155,33.929071510972946,+33.9294718,-083.7584221,0.006229303687499852,0.009258465952000606
30621,-83.48398512647209,33.80443038551149,+33.7914616,-083.4921322,0.012471361623500002,0.017194518547500214
30622,-83.5197848267259,33.92205493220111,+33.9244564,-083.5179260,0.010525982102500046,0.01623594067799987
30623,-83.53609404489396,33.73017271326919,+33.7267575,-083.5418187,0.0005456744995000234,0.0007323607170001154
30624,-83.04683069782054,34.187191187568814,+34.1862455,-083.0441488,0.011011431130500064,0.016358861497000905
30625,-83.33776453910481,33.51948590579014,+33.5202839,-083.3335300,0.012239696970500069,0.015865767563500416
30627,-82.96070429733889,33.97549639449256,+33.9721762,-082.9637481,0.031750523700500015,0.04679304482799883
30628,-83.2126224451439,34.02973827215538,+34.0288753,-083.2132972,0.012295525900499916,0.01788420126650063
30629,-83.11708318672903,34.07902500940144,+34.0769324,-083.1101166,0.019171112626000054,0.02525648362199958
30630,-83.1529006640615,33.911520012513535,+33.9133657,-083.1472785,0.009266155974500074,0.01158843563749992
30631,-82.87593815738585,33.567776221858686,+33.5593190,-082.8752721,0.048892550683499646,0.06611969571400057
30633,-83.24709121376667,34.178350238983505,+34.1809031,-083.2491721,0.02552620735650009,0.03341749277900074
30634,-82.9493661203772,34.201156418734215,+34.1956944,-082.9454830,0.012281774105500031,0.01798579252850028
30635,-82.80439936727616,34.10316846433353,+34.1057685,-082.7931484,0.0775488073240001,0.09635642799199912
30641,-83.56976896890612,33.777655617902184,+33.7783574,-083.5740249,0.008665992234500049,0.010139190934499802
30642,-83.19344220105754,33.55440026765524,+33.5541746,-083.1944043,0.05305793057049957,0.07694561300299976
30643,-82.90882079326086,34.36262301660296,+34.3634710,-082.9088059,0.034787951565499804,0.043724264577999786
30646,-83.3113829732426,34.078291465295365,+34.0851040,-083.2993817,0.00894882169700007,0.013583440496000555
30648,-83.04894151666547,33.882231774002676,+33.8799792,-083.0520545,0.02140101617699982,0.030524049668499968
30650,-83.47198744967355,33.58412807625857,+33.5836887,-083.4735445,0.056373661536500176,0.07799357342249921
30655,-83.6979651301025,33.77834639917657,+33.7816885,-083.6960955,0.02196036185549995,0.03751133528750085
30656,-83.719798925915,33.860762014026164,+33.8621374,-083.7161749,0.017810429698499924,0.02131760232749962
30660,-82.95042235843316,33.785620908450355,+33.7892159,-082.9518658,0.025324830916000015,0.03636914641149943
30662,-83.14788133597249,34.26567649619362,+34.2673107,-083.1540998,0.02052248269749992,0.027862580300999956
21874,-75.35243036271366,38.39167613501373,+38.3912832,-075.3519646,0.007153421477500071,0.009182004800500037
